Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2024-07-23 06:51:19,false,"Treadmill Running","12.24","706","00:59:53","148","168","3.4","166","182","4:54","3:30","--","--","1.23","7.9","9.7","257","--","352","0.0","350","515","23.0","No","00:01:32.3","13","30.0","00:59:50","00:59:53","--","--"
Treadmill Running,2024-07-20 09:37:48,false,"Treadmill Running","10.01","551","00:50:38","141","166","3.3","162","176","5:04","4:18","--","--","1.22","8.1","10.0","270","--","344","0.0","341","416","26.0","No","00:00:01.4","11","29.0","00:50:29","00:50:38","--","--"
Treadmill Running,2024-07-16 06:31:00,false,"Treadmill Running","9.81","589","00:49:16","148","169","3.4","163","195","5:01","3:48","--","--","1.23","8.1","9.9","264","--","347","0.0","343","479","23.0","No","00:04:33.2","10","29.0","00:48:53","00:49:16","--","--"
Treadmill Running,2024-07-14 07:29:18,false,"Treadmill Running","7.01","476","00:36:33","158","175","3.5","160","178","5:13","4:29","--","--","1.20","8.1","9.6","279","--","339","0.0","326","404","23.0","No","00:00:02.9","8","30.0","00:36:25","00:36:33","--","--"
Treadmill Running,2024-07-13 10:08:31,false,"Treadmill Running","7.76","444","00:39:30","143","155","2.9","161","178","5:05","4:25","--","--","1.22","8.2","10.0","268","--","342","0.0","338","408","25.0","No","00:04:18.9","8","30.0","00:39:16","00:46:24","--","--"
Treadmill Running,2024-07-08 07:39:45,false,"Treadmill Running","5.14","343","00:25:16","160","177","3.3","166","183","4:55","4:19","--","--","1.23","8.0","9.8","259","--","351","0.0","349","408","24.0","No","00:00:40.4","6","30.0","00:25:14","00:25:16","--","--"
Treadmill Running,2024-07-06 09:15:54,false,"Treadmill Running","10.01","546","00:50:42","143","158","3.1","162","210","5:04","4:16","--","--","1.22","8.1","9.8","271","--","343","0.0","339","447","23.0","No","00:00:01.3","11","29.0","00:50:40","00:50:42","--","--"
Treadmill Running,2024-07-02 14:27:21,false,"Treadmill Running","6.07","407","00:30:19","159","169","3.6","163","179","4:59","4:21","--","--","1.23","8.1","10.0","264","--","346","0.0","344","423","25.0","No","00:00:22.3","7","30.0","00:30:16","00:30:19","--","--"
Treadmill Running,2024-06-29 15:28:38,false,"Treadmill Running","9.06","572","00:46:09","153","165","3.7","161","188","5:06","4:01","--","--","1.22","8.1","9.9","268","--","342","0.0","337","460","27.0","No","00:00:20.1","10","33.0","00:45:58","00:46:09","--","--"
Treadmill Running,2024-06-25 08:28:07,false,"Treadmill Running","6.18","436","00:31:16","165","172","3.8","161","171","5:03","4:49","--","--","1.23","8.2","10.1","269","--","343","0.0","341","380","24.0","No","00:00:58.5","7","31.0","00:31:15","00:31:16","--","--"
Treadmill Running,2024-06-22 10:04:17,false,"Treadmill Running","10.03","513","00:53:12","137","158","3.0","157","240","5:18","3:44","--","--","1.21","7.8","9.4","266","--","333","0.0","316","512","24.0","No","00:00:07.8","11","30.0","00:52:32","00:59:47","--","--"
Treadmill Running,2024-06-16 07:27:25,false,"Treadmill Running","5.07","360","00:25:16","168","191","3.8","164","248","4:59","4:05","--","--","1.23","8.0","9.9","264","--","351","0.0","346","450","24.0","No","00:00:35.7","6","31.0","00:25:06","00:25:16","--","--"
